timestamp,ap_name,ssid,client_id,client_description,event_category,event_type,event_detail
2026-03-20 21:19:38,072_Hormiguero_AP1,Zona Wifi Rural Gratis-Alcaldia,db6e3a53b1b06113,moto-g22,802.11,802.11 association,"""channel: 11, rssi: 11, band: 2"""
2026-03-20 21:19:58,067_Montebello-AP1,Zona Wifi Rural Gratis-Alcaldia,7e929003f8ffd690,Android-3,802.11,802.11 disassociation,"""client not responding"""
2026-03-20 21:19:59,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 association,"""channel: 1, rssi: 16, band: 2"""
2026-03-20 21:20:18,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:20:20,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 association,"""channel: 1, rssi: 16, band: 2"""
2026-03-20 21:20:38,062_Pichinde-AP2,Zona Wifi Rural Gratis-Alcaldia,44307aa18314b4c0,Redmi-13C,802.11,802.11 disassociation,"""client was deauthenticated"""
2026-03-20 21:20:44,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.1X,802.1X authentication,"""radio: 1, vap: 0, client_mac: 96:F3:B5:F9:21:D8, aid: 1154733859"""
2026-03-20 21:20:44,059_El Saladito-AP1,Zona Wifi Rural Gratis-Alcaldia,6a5f7dac362df250,Redmi-Note-11,802.11,802.11 association,"""channel: 149, rssi: 5, band: 5"""
2026-03-20 21:20:45,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 7A:5D:2C:80:6C:56, aid: 937807796"""
2026-03-20 21:20:45,060_Felidia-AP2,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 association,"""channel: 11, rssi: 32, band: 2"""
2026-03-20 21:20:48,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.11,802.11 disassociation,"""client has left AP"""
2026-03-20 21:20:49,060_Felidia-AP1,Zona Wifi Rural Gratis-Alcaldia,f2f7af9c075c6f4a,Android_M7C3JXB3,802.1X,802.1X authentication,"""radio: 0, vap: 0, client_mac: 7A:5D:2C:80:6C:56, aid: 1664221454"""
